user_id,num_filled_feature,birthday,education_classes_id,education_concentration_id,education_degree_id,education_school_id,education_type,education_with_id,education_year_id,first_name,gender,hometown_id,languages_id,last_name,locale,location_id,middle_name,name,political,religion,work_employer_id,work_end_date,work_from_id,work_location_id,work_position_id,work_projects_id,work_start_date,work_with_id
0-1,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-2,8,,,,,35.0,55.0,,57.0,,78.0,,98.0,114.0,126.0,135.0,,,,,,,,,,,,
0-3,12,7.0,,14.0,,50.0,55.0,,65.0,,78.0,,92.0,,127.0,138.0,,,,,,173.0,,185.0,,,217.0,
0-4,5,,,,,50.0,55.0,56.0,,,78.0,,,,127.0,,,,,,,,,,,,,
0-5,5,,,,,50.0,54.0,,65.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-6,8,1.0,,,,,55.0,,62.0,,78.0,,,111.0,127.0,,,,,,,160.0,,,,,201.0,
0-7,10,,,13.0,,50.0,55.0,,59.0,,78.0,,,107.0,127.0,138.0,,,,,145.0,,,,,,205.0,
0-8,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-9,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-10,11,6.0,,14.0,,50.0,55.0,,65.0,,78.0,,,,127.0,138.0,,,,,149.0,160.0,,,,,214.0,
0-11,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-12,4,,,,,39.0,55.0,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-13,8,7.0,,,,50.0,55.0,,65.0,,78.0,,100.0,,127.0,138.0,,,,,,,,,,,,
0-14,7,,,,,39.0,55.0,,,,78.0,,,108.0,127.0,,,,,,,160.0,,176.0,,,,
0-15,5,,,,,43.0,54.0,,,,77.0,,,,127.0,,,,,,,,,,,,201.0,
0-16,8,5.0,,,,50.0,55.0,,64.0,,77.0,,,,127.0,138.0,,,,,145.0,,,,,,,
0-17,8,0.0,,,,39.0,55.0,,,,78.0,,,,127.0,129.0,,,,,,160.0,,180.0,,,,
0-18,6,,,,22.0,50.0,55.0,,66.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-19,7,,,15.0,,39.0,55.0,,66.0,,78.0,81.0,,,127.0,,,,,,,,,,,,,
0-20,6,1.0,,,,,55.0,,67.0,,78.0,,,,127.0,,,,,,,,,,,,213.0,
0-21,4,5.0,,,,,,,,,77.0,,96.0,,127.0,,,,,,,,,,,,,
0-22,6,,,17.0,,50.0,55.0,,66.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-23,6,,,,,47.0,55.0,,65.0,,77.0,,,,127.0,132.0,,,,,,,,,,,,
0-24,10,,,19.0,,50.0,55.0,,72.0,,78.0,,,110.0,127.0,132.0,,,,,,,,185.0,,,220.0,
0-25,12,,,14.0,,50.0,55.0,,65.0,,78.0,,,,127.0,132.0,,,,,149.0,175.0,,185.0,200.0,,217.0,
0-26,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-27,7,,,,,50.0,55.0,,65.0,,78.0,,,,127.0,,,,,,,160.0,,,,,212.0,
0-28,3,,,,,,,,,,77.0,,,108.0,127.0,,,,,,,,,,,,,
0-29,9,,,,,50.0,55.0,,66.0,,77.0,,,,126.0,134.0,,,,,,169.0,,185.0,,,212.0,
0-30,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-31,8,,,,,50.0,55.0,,65.0,,78.0,,,,127.0,,,,,,149.0,160.0,,179.0,,,,
0-32,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-33,8,,,14.0,,,55.0,,,,78.0,,,118.0,127.0,134.0,,,,,,164.0,,,,,208.0,
0-34,6,,,,,,55.0,,65.0,,78.0,,92.0,,127.0,,,,,,,,,,,,205.0,
0-35,6,,,,,45.0,55.0,,,,78.0,88.0,,,127.0,137.0,,,,,,,,,,,,
0-36,7,,,16.0,22.0,49.0,55.0,,62.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-37,9,,,,,,55.0,,63.0,,77.0,,,109.0,127.0,,,,,,149.0,172.0,,,200.0,,216.0,
0-38,10,,,14.0,,50.0,55.0,,72.0,,78.0,,,,127.0,,,,,,157.0,169.0,,186.0,,,218.0,
0-39,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-40,13,5.0,,14.0,,50.0,55.0,,72.0,,78.0,,101.0,,127.0,138.0,,,,,158.0,173.0,,,193.0,,216.0,
0-41,3,,,,,,,,,,78.0,,,,127.0,129.0,,,,,,,,,,,,
0-42,6,,,,,,55.0,,,,78.0,,,118.0,127.0,,,,,,,160.0,,,,,201.0,
0-43,6,3.0,,,,,55.0,,66.0,,77.0,,,,127.0,,,,,,,,,,,,215.0,
0-44,7,,,,,39.0,55.0,,58.0,,78.0,81.0,,,127.0,,,,,,,171.0,,,,,,
0-45,6,6.0,,,,50.0,55.0,,,,77.0,,,,127.0,132.0,,,,,,,,,,,,
0-46,5,,,,,45.0,55.0,,,,78.0,,,104.0,127.0,,,,,,,,,,,,,
0-47,6,,,13.0,,50.0,55.0,,72.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-48,9,,,,,50.0,55.0,,64.0,,77.0,,92.0,,127.0,132.0,,,,,,160.0,,,,,201.0,
0-49,8,,,,,31.0,55.0,,67.0,,77.0,,92.0,,127.0,,,,,,,160.0,,,,,218.0,
0-50,7,,,,,50.0,53.0,,72.0,,78.0,,,118.0,127.0,,,,,,,,,,,,201.0,
0-51,2,,,,,,,,,,77.0,,,,126.0,,,,,,,,,,,,,
0-52,6,,,,,40.0,55.0,,71.0,,77.0,,,,127.0,136.0,,,,,,,,,,,,
0-53,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-54,4,,,,,,,,,,78.0,,100.0,,127.0,133.0,,,,,,,,,,,,
0-55,8,,,14.0,,50.0,55.0,,69.0,,78.0,,92.0,,127.0,132.0,,,,,,,,,,,,
0-56,15,7.0,9.0,,,50.0,55.0,,65.0,74.0,77.0,,,109.0,127.0,138.0,,,,,158.0,173.0,,186.0,196.0,,216.0,
0-57,6,,,,,50.0,54.0,,,,78.0,,,110.0,127.0,132.0,,,,,,,,,,,,
0-58,7,,,14.0,22.0,52.0,55.0,,72.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-59,8,,,,,50.0,55.0,,64.0,,77.0,89.0,,109.0,127.0,138.0,,,,,,,,,,,,
0-60,6,,,,,50.0,53.0,,69.0,,77.0,,,,127.0,,,,,,145.0,,,,,,,
0-61,4,,,,,,53.0,,68.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-62,7,,,14.0,,50.0,53.0,,,,77.0,,92.0,,127.0,138.0,,,,,,,,,,,,
0-63,11,,,14.0,,50.0,53.0,,60.0,,78.0,,101.0,,127.0,,,,,,,169.0,,185.0,199.0,,219.0,
0-64,7,6.0,,,,52.0,55.0,,65.0,,78.0,,,,126.0,139.0,,,,,,,,,,,,
0-65,12,7.0,,,,50.0,55.0,,65.0,,78.0,87.0,,,127.0,138.0,,,,,,169.0,,181.0,200.0,,211.0,
0-66,7,7.0,,,,43.0,55.0,,62.0,,77.0,,,,127.0,132.0,,,,,,,,,,,,
0-67,12,,,,,50.0,55.0,,65.0,,78.0,,101.0,,127.0,132.0,,,,,149.0,173.0,,185.0,199.0,,219.0,
0-68,5,,,,,45.0,55.0,,,,77.0,,,104.0,127.0,,,,,,,,,,,,,
0-69,11,7.0,,14.0,,50.0,55.0,,65.0,,78.0,,98.0,,127.0,,,,,,,173.0,,,196.0,,217.0,
0-70,8,5.0,,16.0,,,55.0,,66.0,,78.0,,,,127.0,,,,,,,165.0,,,,,217.0,
0-71,12,,,,,,54.0,,65.0,,78.0,,98.0,118.0,127.0,133.0,,,,,156.0,173.0,,181.0,200.0,,220.0,
0-72,13,,11.0,14.0,,50.0,55.0,,64.0,,78.0,,101.0,,127.0,,,,,,158.0,175.0,,186.0,191.0,,217.0,
