group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
"(0.5, 0.5)",0.0,100,2351.38947803,2296.51872087,128.459449134,2588.48155884,2226.95140579,0.060065984726
"(0.5, 0.5)",0.0,1000,225782.811337,225184.511128,1466.51291366,229317.314532,224504.285504,0.42631483078
"(0.5, 0.5)",0.0,10000,22504408.8079,22502757.8874,13970.2541081,22534064.27,22485634.5115,4.20748090744
"(0.5, 0.5)",0.0,100000,2250145637.45,2250155256.29,336854.492455,2250621752.47,2249460313.53,42.0147480965
"(0.5, 0.5)",0.0,1000000,2.25002140259e+11,2.24997717115e+11,12198750.7106,2.25032232425e+11,2.24987396261e+11,417.868880033
"(0.5, 0.5)",0.05,100,2233.86363015,2237.31438372,81.5889316935,2425.47886261,2134.55426529,0.0700159072876
"(0.5, 0.5)",0.05,1000,219560.336752,218859.923884,2320.2203412,226391.788678,217966.656102,0.596575021744
"(0.5, 0.5)",0.05,10000,21893189.7658,21887992.896,27888.9010507,21971107.3118,21866666.6342,4.55964684486
"(0.5, 0.5)",0.05,100000,2187120140.73,2186967873.36,781255.671193,2188903371.95,2186071075.22,42.4252090454
"(0.5, 0.5)",0.05,1000000,2.1874429752e+11,2.18746819798e+11,30201807.4799,2.18795123198e+11,2.18705030635e+11,413.020479918
"(0.5, 0.5)",0.1,100,2210.67041411,2183.68492067,104.086418568,2438.13392742,2091.3877016,0.0673878192902
"(0.5, 0.5)",0.1,1000,213596.589299,213481.872392,1769.20844756,216931.801214,210511.146679,0.42900800705
"(0.5, 0.5)",0.1,10000,21270572.9301,21268900.2024,42493.467218,21345909.7097,21192376.8225,4.13077187538
"(0.5, 0.5)",0.1,100000,2124621679.92,2125062387.02,1032878.93273,2125777383.8,2122616087.09,41.2530097961
"(0.5, 0.5)",0.1,1000000,2.12494275826e+11,2.12498109289e+11,40323917.4395,2.1255993968e+11,2.12425788062e+11,413.374327898
"(0.5, 0.5)",0.15,100,2159.06837241,2161.62915085,83.0705127329,2290.5676261,2021.02387972,0.0692050457001
"(0.5, 0.5)",0.15,1000,207273.038059,206934.721547,1146.31606384,208918.627032,205753.402964,0.436458110809
"(0.5, 0.5)",0.15,10000,20640943.3404,20647427.1788,41569.8370297,20696318.4476,20564129.0702,4.19790506363
"(0.5, 0.5)",0.15,100000,2062223417.22,2062227049.05,992961.425951,2063749806.3,2060505741.24,42.0409910679
"(0.5, 0.5)",0.15,1000000,2.06258383215e+11,2.06258220212e+11,64702108.9572,2.06364200095e+11,2.0614477838e+11,420.328598976
"(0.5, 0.5)",0.2,100,2107.18641295,2054.18648354,136.423486393,2345.37201025,1972.8473991,0.0706789493561
"(0.5, 0.5)",0.2,1000,200236.416527,199669.469838,1415.0776502,203269.701062,198886.344879,0.441757917404
"(0.5, 0.5)",0.2,10000,20034118.1463,20043803.1954,68437.1824176,20141968.8929,19912279.849,4.26008892059
"(0.5, 0.5)",0.2,100000,1999874081.51,1999157781.56,1723428.23566,2002470671.7,1998004026.89,42.463504076
"(0.5, 0.5)",0.2,1000000,2.00016674366e+11,2.00036440565e+11,64491319.8893,2.00093785019e+11,1.99859462653e+11,423.138622046
"(0.5, 0.5)",0.25,100,1960.60969171,1966.746878,62.1985557796,2059.23828636,1837.6719425,0.0699830055237
"(0.5, 0.5)",0.25,1000,193912.4574,194465.0314,2913.04425021,199121.602173,188991.326528,0.443150997162
"(0.5, 0.5)",0.25,10000,19392623.3297,19380730.8762,73304.2698573,19535623.4459,19256056.5569,4.2922809124
