group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
"(0.5, 0.5)",0.0,100,89.9861195243,89.9694972419,0.39121622678,90.5464160163,89.3499676339,0.0672390460968
"(0.5, 0.5)",0.0,1000,899.750275663,900.544860962,2.06480523248,902.625689726,895.796953958,0.44090795517
"(0.5, 0.5)",0.0,10000,9000.77982194,9000.58898306,2.4665887129,9006.61567923,8997.47685488,4.2176361084
"(0.5, 0.5)",0.0,100000,90008.7147478,90008.0916737,22.2012822555,90042.9722562,89969.9368009,42.3546390533
"(0.5, 0.5)",0.0,1000000,900014.885365,900004.119257,46.1037094202,900077.48486,899953.39372,417.584593058
"(0.5, 0.5)",0.05,100,87.5880271975,87.0132859211,1.44362424176,90.1002507243,86.0840283169,0.0682020187378
"(0.5, 0.5)",0.05,1000,873.836289108,873.245955033,1.9846090941,877.071691244,871.034384464,0.442089080811
"(0.5, 0.5)",0.05,10000,8754.6730661,8751.53298034,12.8513687762,8779.92777348,8734.113094,4.26683402061
"(0.5, 0.5)",0.05,100000,87513.3180021,87518.2360996,30.759099952,87555.3731737,87457.1387717,42.534607172
"(0.5, 0.5)",0.05,1000000,874936.450094,874941.301687,88.2389149421,875071.374385,874792.498929,415.887256145
"(0.5, 0.5)",0.1,100,85.5271119635,85.6230012156,1.03773559786,86.9653665972,83.9280807167,0.0714709758759
"(0.5, 0.5)",0.1,1000,851.529797824,852.094329605,6.19910605199,862.712854758,838.910126028,0.439771175385
"(0.5, 0.5)",0.1,10000,8497.60597922,8499.03175398,14.6863055156,8527.29543886,8474.35558492,4.23872113228
"(0.5, 0.5)",0.1,100000,84983.3349666,84992.7719081,28.5455280551,85021.9914836,84940.3049579,42.0893559456
"(0.5, 0.5)",0.1,1000000,850036.905748,850020.446594,47.3152518223,850128.074135,849986.88263,419.189532042
"(0.5, 0.5)",0.15,100,82.9806170287,83.6375462395,2.44399935797,86.992955404,77.7385181552,0.0700979232788
"(0.5, 0.5)",0.15,1000,821.666445728,822.50521467,3.64018567719,827.022777807,814.338980747,0.444231033325
"(0.5, 0.5)",0.15,10000,8251.44387581,8250.42526881,24.6057628271,8292.05171412,8213.20282809,4.2733900547
"(0.5, 0.5)",0.15,100000,82501.6965123,82502.7547039,23.2216238614,82551.6959883,82475.1441817,42.6270179749
"(0.5, 0.5)",0.15,1000000,824912.554821,824914.135599,84.9863942356,825097.78763,824764.136976,431.990422964
"(0.5, 0.5)",0.2,100,80.4919251986,80.5050276707,2.68639521963,84.4251229786,75.2858444421,0.0708210468292
"(0.5, 0.5)",0.2,1000,800.813364747,799.818638489,3.68387006359,806.532556322,794.476760197,0.446202039719
"(0.5, 0.5)",0.2,10000,7995.74570357,7996.46503274,27.4835407107,8036.3376266,7958.80980372,4.33521699905
"(0.5, 0.5)",0.2,100000,80016.7167149,80008.3265521,81.5949319524,80159.6830257,79863.1527779,43.6054129601
"(0.5, 0.5)",0.2,1000000,800028.381555,799931.054192,232.976682425,800579.096521,799802.602477,430.788902998
"(0.5, 0.5)",0.25,100,77.2678655475,76.6713921643,2.0270689487,82.1045583308,75.0653944804,0.0719311237335
"(0.5, 0.5)",0.25,1000,774.401386913,777.324991475,7.66283037598,782.677237104,755.718378811,0.452652931213
"(0.5, 0.5)",0.25,10000,7756.48408368,7763.64402388,22.1371915663,7784.55944371,7696.97911766,4.35487318039
"(0.5, 0.5)",0.25,100000,77436.8182412,77429.149459,61.9568535937,77572.9301459,77369.4348952,43.4688918591
"(0.5, 0.5)",0.25,1000000,774813.844717,774773.111717,255.821947364,775438.677365,774479.002531,434.935127974
"(0.5, 0.5)",0.3,100,76.1639854027,75.7548808136,1.78547905594,79.5914151647,73.8895856971,0.0755429267883
"(0.5, 0.5)",0.3,1000,752.367506521,750.379525098,8.56188736101,768.050954297,741.366769048,0.459671974182
"(0.5, 0.5)",0.3,10000,7498.87031768,7493.22837457,25.7203013741,7551.6979054,7452.38262536,4.42437505722
"(0.5, 0.5)",0.3,100000,75025.2606382,75031.3294663,76.2459191939,75173.6263408,74896.4478565,44.0769460201
"(0.5, 0.5)",0.3,1000000,749940.447879,749929.755254,217.033434502,750320.300478,749620.700984,439.874767065
"(0.5, 0.5)",0.35,100,71.2556430441,71.6185481116,2.88071482707,75.2521068374,65.3673177218,0.0703449249268
"(0.5, 0.5)",0.35,1000,725.521361646,724.719740641,8.20140196746,739.039422735,714.369836519,0.461049079895
"(0.5, 0.5)",0.35,10000,7255.2758644,7254.88753674,23.4408276087,7299.64716763,7210.77649579,4.45974302292
"(0.5, 0.5)",0.35,100000,72489.0519914,72520.0462287,103.805344379,72616.7039173,72281.6481891,44.2969400883
"(0.5, 0.5)",0.35,1000000,724996.497147,725013.417144,187.470922221,725348.48783,724628.781379,445.040309906
"(0.5, 0.5)",0.4,100,69.2656525039,68.719982431,3.43928103693,76.3826361968,64.2881070013,0.072212934494
"(0.5, 0.5)",0.4,1000,700.974517485,697.75378357,8.13111397098,721.161200203,693.663406677,0.470442056656
"(0.5, 0.5)",0.4,10000,6993.22259585,6986.29799696,28.4434053884,7041.21854218,6950.82140735,4.52177095413
"(0.5, 0.5)",0.4,100000,70010.8192367,70020.5941312,113.886007229,70165.9801501,69794.0335007,45.1787450314
"(0.5, 0.5)",0.4,1000000,700039.78275,700123.924753,257.403258869,700385.276704,699403.246999,449.363607883
"(0.5, 0.5)",0.45,100,67.16920663,67.0983058058,2.15879174947,71.7500131242,63.757109255,0.0721709728241
"(0.5, 0.5)",0.45,1000,669.527981548,668.86635815,6.13820957909,683.965018944,658.954310276,0.481353998184
"(0.5, 0.5)",0.45,10000,6759.14807163,6757.29103084,22.9157350373,6788.69190434,6717.14997512,4.57515501976
"(0.5, 0.5)",0.45,100000,67502.1891752,67500.9042983,104.227905712,67643.0132136,67347.4677252,45.7550430298
"(0.5, 0.5)",0.45,1000000,675058.891083,675046.758455,241.087314837,675517.013018,674753.581904,454.671693802
"(0.55000000000000004, 0.44999999999999996)",0.0,100,89.9222891531,89.9755268234,0.606945533194,91.249214568,89.1123544759,0.0676229000092
"(0.55000000000000004, 0.44999999999999996)",0.0,1000,899.350371328,899.602869499,1.56876330974,901.792140622,896.890658913,0.433084011078
"(0.55000000000000004, 0.44999999999999996)",0.0,10000,8999.03236488,8999.87133793,3.67713473514,9003.79896222,8991.60458599,4.12764596939
"(0.55000000000000004, 0.44999999999999996)",0.0,100000,90004.6124499,90004.2057469,15.0591917444,90022.6042039,89977.4258073,40.9831359386
"(0.55000000000000004, 0.44999999999999996)",0.0,1000000,900033.138894,900043.544047,61.326208473,900109.155519,899883.838807,408.96980381
"(0.55000000000000004, 0.44999999999999996)",0.05,100,87.5575098306,87.8573648049,1.79461789374,90.1526010849,83.6532386813,0.0673720836639
"(0.55000000000000004, 0.44999999999999996)",0.05,1000,876.943834923,876.496157783,4.35036722013,883.002262998,870.19338279,0.431342124939
